time,px,py,pz,qx,qy,qz,qw,vx_b,vy_b,vz_b,wx_b,wy_b,wz_b,ref_px,ref_py,ref_pz,ref_qx,ref_qy,ref_qz,ref_qw,ref_vx_b,ref_vy_b,ref_vz_b,ref_wx_b,ref_wy_b,ref_wz_b,u0,u1,u2,u3,u4,u5,cmd_wx,cmd_wy,cmd_wz,cmd_thrust_norm,solve_ms
0.013,0.9988943725485702,0.008125097511721475,0.995506601725079,-0.0009720903123366763,0.000838253971222786,0.01236951923282352,-0.9999226706924158,-0.010646809881912996,0.0033312115765113293,0.004321968217490469,-0.01189741287326148,0.0019622614536885445,0.007161574527753764,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.033,0.9986802034757503,0.0081927796521772,0.9955847854303731,-0.0008576927235863878,0.0008312314527423993,0.012297731080137826,-0.9999236667004858,-0.01090422692695855,0.0029480128543166845,0.0035422810841670154,-0.01116506881228433,-0.0005666169626187884,0.0072228821597402635,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.053,0.9984495828659743,0.008256266093733486,0.9956522146631954,-0.0007401416837558897,0.0008390790284086151,0.012221328115599252,-0.9999246908021437,-0.011180416716889468,0.002591295664838301,0.003026164340257242,-0.012331044552341087,-1.0942381032357934e-05,0.00735874235125466,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.073,0.9982357363463708,0.00830775561015951,0.9957072106081007,-0.0006035263430563291,0.0008312719983973883,0.012151026163888657,-0.9999256458887243,-0.011430048171213559,0.00231002742642224,0.0028470358664717398,-0.016062082116676812,0.00042477522155988433,0.007450068064383344,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.093,0.9979937467805413,0.008359350793851592,0.9957673478507941,-0.00043791210334521416,0.0008121300805048455,0.012072918815309301,-0.9999266939676135,-0.011708868128054507,0.0020742343880120937,0.0029328459479165026,-0.015051026148733389,0.004457572578509624,0.007440518587622997,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.113,0.9977697285446644,0.008402496943243052,0.9958237162734837,-0.0003027340983075503,0.0007450384188748732,0.01200242009604729,-0.9999276449732043,-0.011947141501184236,0.0019195195223109716,0.0030172459194432034,-0.013780968171171127,0.00831925186174195,0.007415436599086107,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.133,0.99749291885815,0.008451705721363884,0.9958909815050855,-0.00016609309435092684,0.0006321255480746295,0.011917385849163459,-0.999928771835723,-0.012191560104044468,0.0018027693044841847,0.002788138720976521,-0.009742696002396347,0.010852956655279801,0.0073896244734336,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.153,0.9972973494580968,0.008484762303105103,0.9959320549418882,-0.00010167731069025223,0.0005424014512195065,0.011858313085789544,-0.9999295354539488,-0.012326786324547472,0.0017544459187301318,0.002369589152049753,-0.007118397661109605,0.0113708266104311,0.007388552720687938,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.173,0.9970378257445626,0.00852727791201241,0.9959735720372486,-3.939648447018246e-05,0.0004192235024212399,0.011780872666330044,-0.9999305144552755,-0.012459545130768817,0.0017166223628033894,0.0016203846969559126,-0.005010938572512288,0.011764732809874412,0.007373826324326246,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.193,0.9967885495698751,0.008567284966424464,0.9959970919884618,1.0316623342991817e-06,0.00028919217441571475,0.011707025816977142,-0.9999314286056532,-0.012540970376196612,0.0017008883111490785,0.0007838308322508296,-0.0036924098188358522,0.014009125813885547,0.007397078241340535,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.213,0.9965382284895212,0.008607081701395356,0.9960045295839627,4.097488217905566e-05,0.00014242364018682906,0.011632875136400494,-0.9999323248363496,-0.012565945145288795,0.001695770439011935,4.133225375769989e-05,-0.004908357468994967,0.015131237140345017,0.007444229011048969,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.233,0.9962880393696237,0.008646927600056944,0.9960002586470266,9.122461943288109e-05,-1.1018186768175226e-05,0.011558264910113913,-0.9999331968031345,-0.012530513123905603,0.0017124391722726224,-0.0003742993526332486,-0.004503930628032584,0.015432807157189603,0.007450706907659827,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.253,0.9960392171352476,0.008687207922504561,0.9959932504182271,0.0001466834848700144,-0.00016131434965654476,0.01148430868298719,-0.9999340293817938,-0.012431198804093038,0.0017409817726965586,-0.00021316790909788763,-0.007952911589431278,0.013741194201173538,0.007359257686924962,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.273,0.9957930051615386,0.008728211307737752,0.9959956783587072,0.00024318735426575601,-0.00028986370256040695,0.011411307476891813,-0.9999348173259157,-0.012278218600260361,0.0017986664332708955,0.0004495838854077679,-0.011056643418428953,0.012426864650879913,0.007234551645367492,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.293,0.9955623619795191,0.008768540944176543,0.9960115650893944,0.0003561331286007216,-0.00041778611910246987,0.011343511092072836,-0.9999355096105236,-0.012093920841588467,0.0018953514991794926,0.0011436541817491915,-0.012247332966424412,0.014237051732093215,0.007042145540454927,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.313,0.9953239744758778,0.008813451315897157,0.9960397959307029,0.0004552577388008999,-0.0005669550011727933,0.011274152165696227,-0.9999361803612083,-0.011845127064710933,0.0020542524188702288,0.0015728064853465615,-0.007093513453129419,0.014837037915246128,0.006848276676846012,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.333,0.9950798276474335,0.008864320193823255,0.9960740044533029,0.0004855276909534376,-0.0007158726358822368,0.01120331765925447,-0.9999368667384239,-0.011518632927486634,0.002256127186658774,0.0015604105237743999,0.0004451768997246659,0.013054770550306837,0.0066733529429178345,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.353,0.9948543285524131,0.008916545194812634,0.9961005422668433,0.0004469227909986007,-0.0008397139261411903,0.01113735834886434,-0.9999375252432277,-0.011158338613993533,0.002447461551967873,0.001039293515573519,0.006791463337027466,0.012675546958005967,0.006540358672797716,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.373,0.9946365265565229,0.008972189710665362,0.9961155632540133,0.00033758842006328737,-0.0009750183836268781,0.011072851402541231,-0.9999381617555296,-0.010753096550154351,0.0026166223451136446,0.0004624343339613662,0.014794262345114826,0.013878408502212008,0.006399148001111609,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.393,0.994417221191826,0.009033418611281646,0.9961195800292448,0.00013623838766227544,-0.0011234991747248954,0.011006770935583639,-0.9999387832173916,-0.010272414331201551,0.0027317534149606687,-7.678738818163661e-05,0.022135877965656532,0.01559009724322731,0.006238192459964369,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.413,0.9942279758865841,0.009089827111221414,0.9961159477249841,-9.884579072149554e-05,-0.001291645419205581,0.010948552952695796,-0.9999392236880513,-0.009788095887516505,0.002751734024776226,-0.00026896079786760933,0.026550674054636136,0.019989770740060208,0.006085122753038817,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.433,0.994039454593004,0.009148334847695167,0.9961137146439989,-0.00038827903633044836,-0.0015013919599250153,0.010888767826777005,-0.9999395130690593,-0.009203343330190501,0.0026707818845358006,6.190807138742691e-05,0.03023981559090707,0.02274655754247204,0.005957670432237933,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.453,0.9938550126875738,0.009206240960233125,0.9961236990706734,-0.0007006210529358794,-0.00175182091884199,0.010827442908592794,-0.999939601542848,-0.00849761663014123,0.002451000244343979,0.0008232390594223034,0.028409449471314723,0.025107420428679125,0.005811572108584108,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.473,0.9937017555408838,0.009253225467557141,0.9961481562257916,-0.000971607958728557,-0.0019995428520935272,0.010772942287318461,-0.9999394989302259,-0.00777149087676263,0.0021505116514902744,0.0016482168008631437,0.028772363388817453,0.02773070346971412,0.005737755045761254,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.493,0.9935563170466019,0.00929498056056598,0.996189856903211,-0.001253823319218107,-0.002274114816786163,0.010716152685898185,-0.9999392083524361,-0.0069013679548935334,0.0017236721906223518,0.0023661752607764893,0.026948229923846996,0.02710996812467147,0.005693554805000623,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.513,0.9934292416756422,0.009326567368674285,0.996243603510758,-0.0015013547664646687,-0.002537211369312148,0.010659221751687275,-0.9999388428718934,-0.005929475012955366,0.0011868597431891976,0.0028906944020164107,0.02160542284114059,0.026344676964806274,0.005748380153756163,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.533,0.9933225196253791,0.0093460280040521,0.9963063792999535,-0.001705836700954244,-0.0027744869911987637,0.010601211927484717,-0.9999385014333401,-0.004853203130650018,0.0005689621532553771,0.003294637240984534,0.018537348507743516,0.021413854679766513,0.005878573288844894,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.553,0.9932379805601983,0.009351797057851313,0.9963764352114821,-0.0018700790315984682,-0.0029631907550994,0.010541857509055147,-0.9999382938687883,-0.0036971414686739123,-0.00012085843554181836,0.003621415648999434,0.01465920728451107,0.016736353927074996,0.006010138314215073,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.573,0.9931769828170094,0.00934269874273488,0.9964523149966591,-0.00201606882670631,-0.003106861190615195,0.010481341142336535,-0.9999382102749582,-0.002480004257699344,-0.0008585879108458875,0.003954034706228857,0.01479710600638104,0.012210761283473806,0.006107700105086355,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.593,0.9931405886149846,0.009317753779045432,0.9965374615925311,-0.0021760990065133722,-0.003198943614736311,0.010420624463721842,-0.9999382190608826,-0.0012199003533989222,-0.0016459762351912833,0.004540548691878683,0.017036421287008822,0.007566519615940009,0.0060996897961911635,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.613,0.993129339039288,0.009275767923439185,0.9966338973521035,-0.0023436256629228228,-0.003264526518458934,0.010360046333693654,-0.9999382579566231,5.939578706195386e-05,-0.0025019223798864766,0.005043735044357261,0.015210999678996718,0.00576539478615379,0.0060928722819294165,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.633,0.9931435758652805,0.009215389275000409,0.9967368613434897,-0.0024755559390051488,-0.003304337067760553,0.010299475631141815,-0.9999384349954047,0.0013567566829935339,-0.0034179379710761694,0.005250060162445088,0.011485058096219974,0.0028600390648401007,0.0060783549463988215,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.653,0.9931808685945187,0.00914014140318359,0.9968364851116684,-0.0025709078517239096,-0.003313517558186499,0.010242192933919297,-0.9999387523834217,0.002595241327387144,-0.004326467544616801,0.005273373666595053,0.00834977932382851,-0.0005941102650873894,0.006050131082386709,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.673,0.9932489692863604,0.009035928476993393,0.9969451607439567,-0.0026278975394317255,-0.0032863952917751866,0.010178986474104482,-0.9999393391575655,0.003954535002542845,-0.005365492875434244,0.005161648963378469,0.002425345375405986,-0.004012860614455858,0.006035652012021857,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.693,0.9933448431726194,0.008909143734708753,0.9970533231613009,-0.002608139478017346,-0.0032463980263535697,0.010116063130762428,-0.9999401600971191,0.005283931251620179,-0.006416150089673824,0.005322791027482497,-0.005680963400941697,-0.0037063496931715556,0.005968307300059771,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.713,0.9934551481805678,0.008775107724897552,0.9971571271364017,-0.0025163569749608815,-0.0031973607750457166,0.010059233093722782,-0.9999411265975688,0.00647215263939369,-0.007346087135722883,0.00577933383794943,-0.013449062491522456,-0.006939645621024554,0.0059664860409448,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.733,0.9935951606794163,0.008614920465265961,0.9972796414251798,-0.0023404001986731997,-0.0030834303573067405,0.009999255918269345,-0.99994251328025,0.007699982827383529,-0.008271788911783188,0.006643849833018312,-0.02113250018671702,-0.015622040098150705,0.005979673652604484,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.753,0.993758784814594,0.00843661544271847,0.9974204924709746,-0.00210204139174972,-0.00290100522342532,0.009939250324082551,-0.9999441868892864,0.008857206349012355,-0.009107862107217883,0.007531493931013903,-0.025183639122164314,-0.02031367465712448,0.005958967421260257,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.773,0.9939443938078816,0.008242287532090572,0.9975758911849635,-0.001839060127224727,-0.002681114355477834,0.009879532638289383,-0.9999459106964289,0.009928391109933437,-0.009838172637171178,0.008100233525963672,-0.026599700757206524,-0.02381858663197885,0.00591974921510285,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.793,0.9941500859122883,0.008034144475600849,0.9977385883707001,-0.001558858368388141,-0.002442091547478208,0.009820389059243083,-0.9999475816802531,0.010896957405262577,-0.010463278678060637,0.008253889393273171,-0.02911279433852051,-0.02418312746977693,0.005860419815762729,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.813,0.9943737735247328,0.007814434100115052,0.9978988743939223,-0.0012447978380990107,-0.0022094000373908216,0.009761221524846894,-0.9999491424988372,0.011763573605181035,-0.010974414616733083,0.007874194586606466,-0.03263671218748928,-0.02335388375865592,0.00590742337047016,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.833,0.9946136071485265,0.007585705571794549,0.9980472029202275,-0.0009026869113051661,-0.0019577126778504905,0.009701347426485998,-0.9999506169684191,0.012544364474093286,-0.011355878401226515,0.007073088533874492,-0.035675099904903834,-0.028524432834658917,0.005981943605114844,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.853,0.9948807422599784,0.0073388348957018415,0.9981819907217442,-0.0005151894559687799,-0.0016267744965908918,0.009637405762891479,-0.9999521031503075,0.013241820596657024,-0.01160111388091171,0.005928504818769271,-0.03645514454929804,-0.03387099038359278,0.0061072835752625,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.873,0.9951335320084476,0.007112426779642504,0.9982829949743248,-0.0001685559889720359,-0.0012920831880507096,0.009578220394522888,-0.9999532788105591,0.0137402655713947,-0.011683454016894634,0.0048571001953302195,-0.03609252877067423,-0.03636549685723255,0.006267749304828908,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.893,0.9954082521473673,0.006873811075593842,0.9983676644205077,0.00018669277112584376,-0.0009271904247481243,0.009514359940528879,-0.9999542901646293,0.014119935828346664,-0.01162960837536802,0.0037233442159489358,-0.03451176055557981,-0.03722291538520295,0.006398642849303985,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.913,0.995689039879212,0.006637637489699975,0.9984303932103564,0.0005358910665441156,-0.0005417928543600157,0.00944954283408089,-0.9999550617010219,0.01435503271149354,-0.011443018792505099,0.0026503140963718454,-0.0347718503365729,-0.040287062794293144,0.0064850391126626715,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.933,0.9959728679560008,0.006406616285386229,0.9984732014844647,0.0008861243295983997,-0.00014731146655115243,0.009383695873682533,-0.9999555686803062,0.014422738609003935,-0.011119716068876977,0.001669148068742842,-0.03424465902679814,-0.03821266225427672,0.006585135083865627,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.953,0.9962564994696574,0.006183545357196684,0.9984971947531689,0.001218417655083027,0.00020605337529653735,0.009317367862271962,-0.9999558288527266,0.01433381019320264,-0.010658538702905647,0.0007620095415603046,-0.03110087075261278,-0.03349055033401757,0.006596841504207707,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.973,0.9965232581869363,0.0059814751579714154,0.9985064767693996,0.0014855757629464706,0.0005070054418895576,0.009254474000810694,-0.9999559443901029,0.014128961333889616,-0.010101316379018963,0.00020949227760369088,-0.02440425871953959,-0.03066204070678063,0.006589309419537702,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.993,0.9968124579840728,0.00577173619614066,0.9985088124074677,0.0016941061589206676,0.0008001676245533929,0.009184927643660617,-0.999956062454884,0.013772919838098271,-0.009383336034959347,-2.516058594817827e-05,-0.015306379753948086,-0.025173028940588937,0.006585837100947413,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.006403246010008132,-4.133660260947205e-09,8.144259876956373e-13,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
