t,px,py,pz,yaw,vx,vy,vz,ax,ay,az,dyaw
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.007326338262361956,0.007326338262351442,0.0,0.0
0.02,9.780698319096202e-07,9.780698319091522e-07,1.0,0.0,0.00014652676524723912,0.00014652676524702884,0.0,0.014579321563011269,0.0145793215616824,0.0,0.0
0.04,7.79519458136524e-06,7.795194581128402e-06,1.0,0.0,0.0005831728625204508,0.000583172862467296,0.0,0.028975669887320456,0.028975669853693462,0.0,0.0
0.06,2.6209876764093557e-05,2.620987675509102e-05,1.0,0.0,0.0013055535607400571,0.0013055535593947671,0.0,0.043153333822346644,0.043153333491935474,0.0,0.0
0.08,6.189314514738693e-05,6.189314502883799e-05,1.0,0.0,0.0023093062154143163,0.0023093062021447147,0.0,0.057113417491850095,0.057113415572947586,0.0,0.0
0.1,0.00012042899641383216,0.00012042899554053267,1.0,0.0,0.0035900902604140616,0.0035900901823126712,0.0,0.07085702430892205,0.070857016350593,0.0,0.0
0.12,0.00020731483655268132,0.00020731483209754332,1.0,0.0,0.005143587187771197,0.005143586856168434,0.0,0.08438525617510717,0.08438523003254984,0.0,0.0
0.14,0.00032796192166157777,0.0003279619040239455,1.0,0.0,0.00696550050741835,0.006965499383614666,0.0,0.09769921223269942,0.09769913978949457,0.0,0.0
0.16,0.0004876957976621859,0.00048769573966364464,1.0,0.0,0.009051555677079173,0.009051552447748216,0.0,0.11079998709110339,0.11079981066055977,0.0,0.0
0.18,0.0006917567382224985,0.0006917565727102072,1.0,0.0,0.011397499991062482,0.011397491810037054,0.0,0.12368866846037549,0.12368828008752675,0.0,0.0
0.2,0.0009453001799410768,0.00094529975758444,1.0,0.0,0.013999102415494196,0.013999083651249288,0.0,0.13636633413656668,0.13636554585627175,0.0,0.0
0.22,0.00125339715358884,0.0012533961690422164,1.0,0.0,0.016852153356525148,0.016852113644287924,0.0,0.14883404829431546,0.14883255126733663,0.0,0.0
0.24,0.0016210347099265897,0.0016210325800853492,1.0,0.0,0.019952464347266812,0.01995238570194275,0.0,0.16109285705231924,0.16109016739824483,0.0,0.0
0.26,0.002053116338325274,0.002053112011083718,1.0,0.0,0.02329586763861792,0.02329572034021772,0.0,0.17314378328684027,0.17313917235842424,0.0,0.0
0.28,0.0025544623761149243,0.0025544540418127163,1.0,0.0,0.02687821567874043,0.026877952596279724,0.0,0.18498782067732988,0.184980227473451,0.0,0.0
0.3,0.003129810406280768,0.003129795076880705,1.0,0.0,0.030695380465711113,0.03069492943915576,0.0,0.19662592697659131,0.19661385036892076,0.0,0.0
0.32,0.0037838156408145727,0.003783788553779938,1.0,0.0,0.03474325275780408,0.034742506611036554,0.0,0.2080590165056695,0.2080403849556557,0.0,0.0
0.34,0.004521051286718894,0.0045210050815539795,1.0,0.0,0.0390177411259379,0.03901654483738199,0.0,0.21928795188088301,0.21925996834736128,0.0,0.0
0.36,0.00534600889135465,0.005345932496846774,1.0,0.0,0.043514770833039396,0.043512905344931,0.0,0.23031353498712093,0.23027249476931866,0.0,0.0
0.38,0.006263098663520548,0.006262975822893933,1.0,0.0,0.04823028252542273,0.04822744462815474,0.0,0.241136497217737,0.24107757654239625,0.0,0.0
