metric,value
window_size,1.0
num_features_per_frame,25.0
input_dim_total,25.0
output_dim,6.0
train_samples,4423.0
test_samples,2240.0
train_r2_all_dims,0.9989884306591038
train_mae_all_dims,0.0033218845974582758
train_rmse_all_dims,0.0056450212502511575
train_r2_ep_norm,0.9991676195533876
train_mae_ep_norm,0.0030852268603175047
train_rmse_ep_norm,0.005373924389598585
train_r2_ev_norm,0.9995364716435847
train_mae_ev_norm,0.004163681548264165
train_rmse_ev_norm,0.006743270144373879
test_r2_all_dims,-3.007394950716755
test_mae_all_dims,0.03484237839430243
test_rmse_all_dims,0.062196752640595446
test_r2_ep_norm,0.8240963977197876
test_mae_ep_norm,0.026981350121870543
test_rmse_ep_norm,0.03804201811040274
test_r2_ev_norm,0.16094260722953746
test_mae_ev_norm,0.05191655619524233
test_rmse_ev_norm,0.10094289145719113
